会社名,資本金,売上高,代表者,ホームページ,メールアドレス,連絡先
株式会社ハートフレンド,3億6354万円(2018年1月現在),479億円（2013年2月期）486億円（2014年2月期）502億円（2015年2月期）519億円（2016年2月期）520億円（2017年2月期）,代表取締役社長　片岡孝一,http://www.super-fresco.co.jp,y-ikeda@super-fresco.co.jp,〒600-8311　京都市下京区若宮通五条下ル毘沙門町３３番地１TEL　075-468-9171総務人事本部　池田　裕香E-Mail　：　y-ikeda@super-fresco.co.jpURL　：　http://www.super-fresco.co.jp
株式会社　マルチョウ,1000万円,6億3000万円（2016年3月実績）,代表取締役社長　原田　長政,http://maruchou.com,saiyou@maruchou.com,株式会社　マルチョウ　本部　採用係◇住所：〒343-0813　　　　　埼玉県越谷市越ヶ谷1-3-14　4F◇TEL：048-960-5890　※TELはブックオフ越谷駅前店と共通です。◇Mail：saiyou@maruchou.com
サミット株式会社,39億2000万円,"2017年3月期/2567億54百万円2016年3月期/2460億43百万円2015年3月期/2352億 2百万円2014年3月期/2372億 2百万円2013年3月期/2282億41百万円",代表取締役社長　竹野　浩樹,,,"〒168-8686 東京都杉並区永福3-57-14　　人事部 採用担当　茂木(もぎ)・國歳(くにとし)　TEL:03-3318-5005（直通）"
株式会社アップビート,4億455万円,125億9000万円　※2016年度実績,"代表取締役　深田 則往",,,"株式会社アップビート〒220-6213神奈川県横浜市西区みなとみらい2-3-5　クイーンズタワーC 13階TEL：050-3116-3500／FAX：045-305-6900"
株式会社グラム,１，０００万円,"□不況にも負けない！□安定成長を続けています！！１０５億２千百万円（平成２８年６期グループ実績）６４億１千万円（平成２７年６月期グループ実績）５３億７千百万円（平成２６年６月期グループ実績）４８億２千百万円(平成２５年６月期グループ実績)４６億２千百万円（平成２４年６月期グループ実績）３９億円（平成２３年６月期グループ実績）３８億４千万円（平成２２年６月期グループ実績）３３億８千７百万円（平成２１年６月期グループ実績） ３０億５千万円（平成２０年６月期グループ実績） ２５億６千万円（平成１９年６月期実績） ２３億円（平成１８年６月期実績）",中川　一光,http://ggwh.jp,recruit@gram-net.jp,(株)グラム　人事課〒157-0066　東京都世田谷区成城7-8-18リクルートダイヤル：03-5429-8191リクルートメール：recruit@gram-net.jphttp://ggwh.jp/index.html（株式会社G&Gワークスホールディングス）
株式会社ウエスト,1000万円,7億3000万円(2017年予定),代表取締役社長　市村　勉,,,"〒107-0062東京都港区南青山2-27-19　abcd青山ビル2F 　TEL：03-6825-6422（採用担当直通）"
東宝企業株式会社,1800万円,92億円（2016年実績）,代表取締役社長　宇崎孝也,http://www.tohokigyo.com,jinji@tohokigyo.com,鳥取県倉吉市大正町2丁目90番地TEL　0858-22-7321担当／穴口・山根E-mail　jinji@tohokigyo.com会社HP　http://www.tohokigyo.com/
株式会社飛竜企画,3000万円,14億2610万円（2015年3月実績）,下川徳雄（大学在学中に創業）,http://www.hiryu.co.jp,,●住所・電話番号・連絡先〒153-0063　東京都目黒区目黒2-11-11　HKビルTEL.03-3490-6121（人事部・採用担当）URL　http://www.hiryu.co.jp/●交通JR・東急・地下鉄目黒駅より徒歩13分目黒駅西口を出て目黒通りを直進、山手通りとの交差点を右折。
株式会社大和,1000万円,,"代表取締役　涌本 宜央",,,総務部　人事課　家永(いえなが)、別小(べっしょう)、木村〒564-0042　大阪府吹田市穂波町5-1（3階）06-6380-3338saiyo_01@daiwa-cycle.co.jp
兼松ＢＤコミュニケーションズ株式会社,9445万円,21.23億円（2017年3月期）,代表取締役社長　宮脇　大輔,,,"兼松ＢＤコミュニケーションズ株式会社〒830-0039福岡県久留米市花畑二丁目15-2TEL:0942-37-2772（フリーコール 0800-888-1477）採用担当"
株式会社チャーム,1000万円,129億円（2016年度）108億円（2015年度）98.6億円（2014年度）86.9億円（2013年度）75.3億円（2012年度）55.9億円（2011年度）44.2億円（2010年度）,"代表取締役　吉岡 晃",,,"株式会社チャーム 〒370-0603　群馬県邑楽郡邑楽町中野2819-8 TEL: 0276-88-0910 (代) 受付時間：平日 9:00-20:00 新卒採用担当係"
アークランドサカモト株式会社,64億6299万円,1030億3100万円（2017年2月期連結）,"代表取締役社長　坂本 雅俊",,,"〒955-8501 新潟県三条市上須頃445番地アークランドサカモト株式会社管理本部　総務部 人事採用グループ　石本TEL:0256-33-6042(フリーダイヤル)0120-350-634交通機関●上越新幹線「燕三条駅」下車、徒歩10分。北陸自動車道「三条燕IC」より車で5分"
つるや株式会社,9000万円,１９５億円（2016年7月期）,代表取締役社長　西村　理作,http://www.tsuruyagolf.co.jp,,大阪市中央区本町3丁目3-5　〒541-0053　電話　06-6281-0111（代）総務人事課／採用担当saiyo@tsuruyagolf.co.jphttp://www.tsuruyagolf.co.jp
株式会社ドミー,8億4154万円,353億2200万円(2016年5月実績)342億6700万円(2015年5月実績)338億5000万円(2014年5月実績)337億6000万円(2013年5月実績)336億1000万円(2012年5月実績)　※連結,代表取締役社長　梶川勇次,http://www.domy.co.jp,,株式会社ドミー〒444-0007愛知県岡崎市大平町字八ッ幡1-1TEL：0564-25-1121採用担当：総務部　人事課/成瀬HP：http://www.domy.co.jp/
株式会社アーズ,2000万円,非公開,代表取締役　西瀧順二,http://www.aahz.co.jp,,"〒135-0064東京都江東区青海２－７－4　theSOHO 307採用担当【交通】ゆりかもめ「船の科学館」または「テレコムセンター」駅より各徒歩5分【ＨＰ】http://www.aahz.co.jp/【お問い合わせ】saiyo@aahz.co.jp"
"株式会社ハヴァ ナイス トリップ",4000万円,30億900万円（2013年7月期実績）,山本秀一　（やまもと　ひでかず）,,,"〒651-0061 兵庫県神戸市中央区上筒井通3-2-5採用担当　宮永TEL：078-222-1631"
株式会社マツヤデンキ,1億円,221億40万円（2017年2月期実績）,"代表取締役社長　　瀧川　一隆 ",,,〒551-0031大阪府大阪市大正区泉尾3丁目11番14号(株)マツヤデンキ人事総務部　採用担当者TEL:06-6552-0720
ウッドオフィス株式会社,1000万円,26億円　※2015年度実績,"代表取締役社長　名取 禎",http://www.wo-gr.jp/w-o/,,ウッドオフィス株式会社　総務部　採用担当〒105-0004　東京都港区新橋5-26-5TEL：03-6402-1221/FAX：03-6402-1224
プラモ合同会社,900万円,2億0542万円(2016年9月),"松村 隆",,,プラモ合同会社〒107-0062　東京都港区南青山1-17-14　プレイム青山1階TEL/03-3402-0430　採用事務担当/前田、坂本
株式会社スーパーみらべる,1500万円,1100000万円　（平成28年7月期）,代表取締役　関根朋之,,mirabelle@saiyou-center.jp,"株式会社スーパーみらべる新卒採用担当 〒173-0004東京都板橋区板橋1-35-9　エムアイビル4FTEL：03-5943-3500　（管理部/大貫）MAIL：mirabelle@saiyou-center.jp"
株式会社ネプロクリエイト,50000000円,4173000000円（2016年3月31日時点）,"代表取締役社長　成瀬 誠",,nc-recruit@nepro.jp,"株式会社ネプロクリエイト採用担当　戸川　真絵（トガワ　マサエ）〒576-0041大阪府交野市私部西1-31-7TEL　090-5133-6576 (10時～19時）MAIL nc-recruit@nepro.jp　※会社説明会の日程相談やご質問など、お気軽にご連絡ください。"
株式会社サクセス（携帯事業部・ショップスタッフ職）,7000万円,27億8400万円（2017年6月期）,代表取締役　和泉　享,http://www.kk-success.co.jp,soumu@kk-success.co.jp,"★☆★　株式会社サクセス　採用窓口　★☆★どんな小さな質問でも構いません。お気軽にお問い合わせください！〒760-0015香川県高松市紫雲町8-20TEL 050-3530-1006総務課／大西e-mail／soumu@kk-success.co.jpサクセスＨＰ／http://www.kk-success.co.jp/"
神奈川スバル株式会社,1億円,321億円（2015年3月）,"代表取締役社長　 飯山　勝久",http://www.kanagawa-subaru.com,,"神奈川スバル株式会社〒222-8571横浜市港北区新横浜1-18-1採用担当：総務部　総務・人事課／石川・永井TEL: 045-478-3625（直通）【ホームページ】http://www.kanagawa-subaru.com【本社アクセス】JR横浜線、市営地下鉄線「新横浜駅」より徒歩約10分※環状2号線を岸根方面へお進みください。屋上のスバルの看板が目印です。"
