会社名,代表者,ホームページ,メールアドレス,電話番号,資本金,売上高,連絡先
"株式会社トーコン ホールディングス",代表取締役　原田直史,http://www.tokon.co.jp,,03-5695-0015,1000万円,61億340万円（2016年9月末実績）※取扱高,"－－－－－－－－－－－－－－－－－－－－－仕事はワクワク楽しく〒103-0014　東京都中央区日本橋蛎殻町1-33-11　味岡蛎殻町ビル4F採用プロジェクトチーム　新卒採用担当とことん、ビジョンへ。－－－－－－－－－－－－－－－－－－－－－●03-5695-0015●URL　http://www.tokon.co.jp●採用facebook URL　http://www.facebook.com/tokon.saiyou"
株式会社インポート・プラス,"代表取締役社長 河村 隆平",,,011-640-1777,90百万円,30億円,〒063-0006　札幌市西区山の手6条1丁目3-1株式会社インポート・プラス　本社　管理部宛Tel：011-640-1777
オーケー株式会社,代表取締役会長　　飯田　勧代表取締役社長　　二宮　涼太郎,,jinji@okco.jp,0120-308-387,28億6800万円," 3072億円(2016年3月実績) 2820億円(2015年3月実績) 2626億円(2014年3月実績)　　2501億円(2013年3月実績)　　2358億円(2012年3月実績)　　2305億円(2011年3月実績）　　2156億円(2010年3月実績）　　1921億円(2009年3月実績）　",〒220-8755神奈川県横浜市西区みなとみらい6-3-6みなとみらいビルオーケー株式会社　人事総務部　廣田・古川・韮塚・川澄【直通】　　0120-308-387【e-mail】　jinji@okco.jp
有限会社ネコモト,取締役　猫本　善弘,,,082-263-0202,300万円,1億5000万円（2016年8月期）,"有限会社ネコモト〒732-0057広島県広島市東区二葉の里2-7-13TEL: 082-263-0202FAX: 082-263-0203"
株式会社メディアステーション,代表取締役　社長鈴木　善正,,,070-6622-5566,1000万円,23億円（2014年9月期）▼28億円（2015年9月期）▼35億円（2016年9月期）,担当／人事部人事課　友部・橋本お問い合わせはこちらまで！〒980-6124　宮城県仙台市青葉区中央一丁目3番1号AER24階TEL：070-6622-5566
株式会社守半海苔店,小谷　千砂子,http://www.morihan.jp/,info@morihan.jp,03-3761-4077,1000万円,１億４０００万円（２０１７年１０月時）,株式会社守半海苔店〒143-0016東京都大田区大森北1-29-3採用担当　管理課　的場TEL：03-3761-4077Email：info@morihan.jp
株式会社モバイルコム,"代表取締役社長　所谷 直人",http://www.mobilecom,,089-926-3030,1000万円,105億円（2015年度3月期）,"■本社〒790-0942愛媛県松山市古川北3丁目9-24ＴＥＬ 　 ： 089-926-3030 担当者 ： 総務部　植田・日野ＨＰ　： http://www.mobilecom.co.jp/"
株式会社尾東,代表取締役社長　人見靖志,http://www.bbth.co.jp,,052-263-8655,2000万円,11億円（2015年11月実績）11億円（2014年3月実績）9億円（2013年3月実績）8億8000万円(2012年3月実績）,〒486-0912愛知県春日井市高山町1-8-4/本社ホームページ：http://www.bbth.co.jp/※会社ホームページより、「和わ」「結」「花舎」「kisste」へのリンクがあります。採用受付はアドバHRソリューションズが行います。TEL:052-263-8655
ゲンキー株式会社,"代表取締役社長　藤永 賢一　　　プロフィール　　趣味：　立地調査（休日も他店の見学に出かけてしまいます）　　好きな言葉：　一生一回一ブランド",,saiyo@genky.co.jp,0776-43-9080,39億9638万円（2017年12月),,"-採用センター-〒910－0005　福井県福井市大手三丁目4番1号　（福井放送会館3階）電話番号：0776-43-9080Eメール：saiyo@genky.co.jp-戦略本部-〒910-0332 福井県坂井市丸岡町下久米田38-33電話番号：0776-67-5240(代表)採用チーム：北陸　宮川　増子　　　　　　　東海　脇阪　小島　加藤　北村採用責任者：人材開発部長　桑野"
株式会社サンキョウ,代表取締役　五十嵐広大,http://www.sunkyo.jp/,,048-799-3927,700万円,289500000(平成28年度）,株式会社サンキョウ埼玉営業所〒338-0823埼玉県さいたま市桜区栄和6-2-8採用担当TEL：048-799-3927　FAX：048-799-3928
株式会社ロピア,"代表取締役社長　高木 勇輔",,,0466-81-9222,1000万円,954億円（2017年2月期実績）,〒251-0872神奈川県藤沢市立石3丁目3157番地TEL:0466-81-9222（人事・総務担当）FAX:0466-83-4555
株式会社シモヤ,代表取締役　下谷　敏博,http://www.shimoya.jp/,info@shimoya.jp,0562-48-1488,3000万円,20億円（2016年度実績）,"株式会社シモヤ〒474-0047愛知県大府市宮内町4丁目381番地採用担当：浅田TEL：0562-48-1488（受付時間9：00～17：00 土曜日・日曜日・祝日・年末年始ほか、当社休業日除く）E-mail：info@shimoya.jp"
"株式会社Joker Enterprise",代表取締役　辻田　浩一,,,078-907-5091,,,"株式会社Joker Enterprise〒651-1351 兵庫県神戸市北区八多町中883-1　※2014年10月に本社を拡張移転しました。TEL：078-907-5091採用担当：池脇（イケワキ）"
株式会社西日本建設新聞社,代表取締役　千原　竹雄,Tender-Nethttp://www.wjc-news.co.jp/,,096-368-4222,1000万円,1億7000万円（2016年11月実績）,"株式会社西日本建設新聞社〒862-0918熊本県熊本市東区花立6-7-53 採用担当TEL：096-368-4222(代表）"
株式会社フレックス,代表取締役　渡邉良二,http://www.f-beans.co.jp,flexjinji@f-beans.co.jp,027-350-1411,3000万円,＜広告取扱高実績＞18億1900万円（2016年9月期/対前年比124%）19億6800万円（2017年9月期/対前年比108%）,"■■■お問い合わせはお気軽に！■■■-------------------------------------------株式会社フレックス（リクルート エリアTOPパートナー）〒370-0015　群馬県高崎市島野町1140TEL：027-350-1411FAX：027-353-3522E-MAIL：flexjinji@f-beans.co.jp採用担当 / 山岸・吉田★当社HP＆リクルーティングページもぜひご覧ください！【HP】http://www.f-beans.co.jp/【リクルーティングページ】http://www.f-beans.co.jp/flex/recruit2018/"
株式会社東京モバイルネットワーク,代表取締役社長　白井　武三,,,03-3458-8143,6000万円,40億円（2017年3月）,〒140-0001　東京都品川区北品川3-6-2　品川ＭＳビル4Ｆ03-3458-8143
"株式会社 菱和テレコム","代表取締役社長　大久保 博史",,,052-732-7733,3000万円,20億円（2017年3月実績）,"〒464-0850愛知県名古屋市千種区今池3-5-13新卒採用担当：熊須TEL:　　 052-732-7733e-mail:　telecom@ryowa.co.jp"
株式会社バローホールディングス,代表取締役社長　田代正美,http://valorholdings.co.jp,saiyou@valor.co.jp,052-563-8601,119億1600万円(2015年3月現在),グループ連結　4974億円(2016年3月期実績),"〒450-0003愛知県名古屋市中村区名駅南1-16-21名古屋三井物産ビル３階　バローホールディングス名古屋本部総務人事部　佐藤　康臣電話 052-563-8601ホームページ　http://valorholdings.co.jp/E-mail saiyou@valor.co.jp"
株式会社マルハチ,代表取締役社長　栗花正雄,http://www.supermaruhachi.co.jp,,078-232-0839,4800万円,567億円（2017年2月期）520億円（2016年2月期）465億円（2015年2月期）413億円（2014年2月期）389億円（2013年2月期）378億円（2012年2月期）353億円（2011年2月期）297億円（2010年2月期）288億円（2009年2月期）250億円（2008年2月期）●21年連続成長中です。,"〒651-0064 神戸市中央区大日通1丁目2-18TEL:078-232-0839／牧原、塩口採用HP●http://www.supermaruhachi.co.jp/recruit/index.html■本社交通／ＪＲ「灘駅」下車、北西に徒歩5分 ---------------------------------------------※2015年、本社が上記所在地に移転しました---------------------------------------------"
株式会社ワイエスシー,代表取締役　小泉　稔,http://www.ysc.jp/,service_info@ysc.jp,045-227-5711,4000万円,316億8707万円（2016年度実績）,"株式会社ワイエスシー〒220-6213神奈川県横浜市西区みなとみらい 2-3-5　クイーンズタワー　C-13F採用担当TEL:045-227-5711　　FAX:045-227-5747E-mail：service_info@ysc.jp"
株式会社あとらす二十一　【総合職コース】,代表取締役　井上恒郎,http://at21.jp,jinji@at21.jp,03-6832-2121,1億円,,"〒163-0428東京都新宿区西新宿2-1-1新宿三井ビル28F株式会社あとらす二十一担当/人事部　採用担当【TEL】 　 03-6832-2121（代表）【MAIL】 jinji@at21.jp【URL】　　http://at21.jp/"
株式会社ブランドオフ,代表取締役社長　安山　勉,,t.katsumata@brandoff.co.jp,03-3545-3439,3億7257万円,200億円（2015年8月期）◎売上高推移--------------------127億5000万円（2014年8月期）120億1000万円（2013年8月期）116億6700万円（2012年8月期）102億1500万円（2011年8月期）,"株式会社ブランドオフ　〒104-0061東京都中央区銀座6-16-12 丸高ビル9F新卒採用担当　TEL: 03-3545-3439Eメール:　t.katsumata@brandoff.co.jp"
MXモバイリング株式会社,代表取締役社長　阿部　達也,,MXM-saiyo@mxmobiling.com,,10億円,2604億円(2017年3月期),〒135-0061東京都江東区豊洲3-2-24豊洲フォレシアMXモバイリング株式会社　新卒採用担当E-Mail:MXM-saiyo@mxmobiling.com※お問い合わせはE-mailで受け付けております。
株式会社　タチヤ,"代表取締役　森 克幸（1961生）",,,052-201-5155,3000万円,266億円（2017年3月実績）,〒460-0002　名古屋市中区丸の内1-10-29　白川第8ビル7階TEL:052-201-5155　人事部　採用担当　望月a.mochizuki@tachiya.co.jp
株式会社ACNモバイル,"代表取締役社長　田積 毅",http://acn-mobile.co.jp,,06-6446-2822,900万円,220億(グループ計　2015年2月実績),"株式会社ＡＣＮモバイル〒550-0004大阪市西区靱本町1-4-17 ACN信濃橋ビル9F（本社）TEL／06-6446-2822採用担当／安保佑紀　四方悠喜ＨＰ■http://acn-mobile.co.jp/"
株式会社BANKANわものや,代表取締役／形部幸裕,→http://www.bankan.co.jp/index.html,saiyou@bankan.co.jp,052-728-1080,1億円※親会社株式会社ベルーナ（東証一部上場）100％出資子会社,"73億0000万円（2017年3月予測）65億7479万円（2016年3月実績）　※＋23％の成長53億4800万円（2015年3月実績）　※＋9％の成長 49億0400万円（2014年3月実績）　※＋9％の成長 44億9260万円（2013年3月実績）　※＋16％の成長 38億6440万円（2012年3月実績）　※＋14％の成長 33億8910万円（2011年3月実績） ※創業以来連続増収達成中！",〒460-0008愛知県名古屋市中区栄2丁目11番30号セントラルビル9ＦTEL：052-728-1080／FAX：052-728-1082Mail：saiyou@bankan.co.jp採用担当：森岡・齊藤・福井・柘植
株式会社カイショー,代表取締役　中山裕介代表取締役　田中達也,http://www.kaisyo.co.jp/,info@kaisyo.co.jp,092-410-1877,1000000円,6億8千万円（2016年度実績）,株式会社カイショー〒813-0002福岡県福岡市東区下原4丁目18-33電話：092-410-1877E-mail:info@kaisyo.co.jp
株式会社千葉薬品（総合職）,代表取締役社長　神崎　彰道,,,0120-973-760,4億9100万円,456億円（2016年3月期）,株式会社千葉薬品　人事部採用担当　吉田・田辺〒260-8564　千葉県千葉市中央区問屋町1-35　ポートサイドタワー28階ＴＥＬ：0120-973-760（フリーコール）、043-248-0030（人事部直通）Ｍａｉｌ：saiyo@yacs.jp
姫路魚類株式会社,代表取締役　小河　智,http://www.himeuo.co.jp/index.html,,079-221-6071,1億5000万円,102億円（平成29年3月期実績）,姫路魚類株式会社〒670-0966兵庫県姫路市延末295番地総務部採用担当　杉本TEL：079-221-6071
株式会社ニチコム,代表取締役社長　野口武史,http://www.nichi-com,,0297-47-8889,1000万円,32億2000万円（2016年9月実績）,株式会社ニチコム茨城県守谷市本町288-1【TEL】0297-47-8889【MAIL】recruit@nichi-com.co.jp【HP】http://www.nichi-com.co.jp/
株式会社エディオンコミュニケーションズ　,"代表取締役社長 岡嶋 昇一",http://www.e-com,,0120-314-517,3億円,597億円（2015年3月実績）,"株式会社エディオンコミュニケーションズ〒464-8646愛知県名古屋市中村区烏森町4丁目82番地フリーダイヤル　0120-314-517 人材開発部リクルート特設WEBサイトURL：http://www.e-coms.ne.jp/recruit/index.html"
アライ電機産業株式会社,"代表取締役社長 新井充治",,kanehara@araidenki.com,048-458-7003,5000万円,155億円（2016年11月期）149億円（2015年11月期）140億円（2014年11月期）,"アライ電機産業株式会社ビジネスセンター：〒351-0101 埼玉県和光市白子1-3-40採用・育成課　金原　葉子TEL：048-458-7003Email：kanehara@araidenki.com"
株式会社サトウ,代表取締役社長　佐藤進,,satoh-saiyou@satoh.co.jp,042-576-0561,5000万円,67億9300万円（2016年3月期）63億1400万円（2015年3月期）60億4100万円（2014年3月期）,"〒186-0004東京都国立市中2-4-3株式会社サトウ総務部採用担当TEL　 042-576-0561FAX 　042-576-1390Mail　satoh-saiyou@satoh.co.jp　"
株式会社キールスタッフィング,"川口 浩也代表の川口浩也は、業界内でも有名なプロデューサーの一人です。 実績豊富で、有名バラエティ番組を数多く手がけてきました。 スタッフに対しては、とても気さくに接するので相談しやすく、頼りになる存在です。 そんな代表と一緒に学びながら仕事ができるので、一流のディレクター・プロデューサーを目指せる、最高の環境ですよ。",http://www.o-keel.co.jp,,03-6459-0551,3000万円,非公開,"〒105-0004　東京都港区新橋3-15-8　精工ビル4F 　　　03-6459-0551／採用担当HP：http://www.o-keel.co.jp/staffing"
あすとろ出版株式会社,代表取締役社長　畑和吉,http://www.asutoro.co.jp/,kanribu@asutoro.co.jp,03-3911-1461,"8000万円 (持株比率　東京書籍株式会社100％)","2億4900万円 (2016年度実績)",あすとろ出版株式会社〒114-0005東京都北区栄町48-23東書文庫管理営業部人事担当宛てTEL：03-3911-1461E-mail：kanribu@asutoro.co.jp
アーク株式会社,代表取締役社長　大泉　毅,http://www.arkgroup.jp/,saiyo@ark-net.co.jp,019-622-2211,8000万円,32億6500万円（2016年9月期）,アーク株式会社〒020-0871岩手県盛岡市中ノ橋通2-8-2モバイル部門　採用担当TEL：019-622-2211(代)Email：saiyo@ark-net.co.jp
トラコム株式会社,"代表取締役社長 坂本 秀美",http://www.tracom,,0120-082-033,5000万円,,トラコム株式会社人事採用チーム　安藤東京都港区赤坂1-12-32　アーク森ビル13FTEL　0120-082-033　　e-mail　saiyo@tracom.co.jpURL　http://www.tracom.co.jp/＜交通アクセス＞　【本社】　東京メトロ南北線「六本木一丁目」駅　3番出口より徒歩3分　【千葉支社】　JR「千葉」駅西口直結　　　　　　　　　または千葉都市モノレール「千葉」駅・京成線「京成千葉」駅より徒歩3分　【大阪支社】　JR・地下鉄長堀鶴見緑地線・京阪本線「京橋」駅より徒歩5分
株式会社グローバルユニット,"代表取締役　小林 昌良",,,026-275-6101,8000万円※資本準備金含む,18億円（2015年　グループ計）,"株式会社グローバルユニット〒389-0802　長野県千曲市内川125-3電話：026-275-6101担当：大田（オオタ） "
株式会社ハートフレンド,代表取締役社長　片岡孝一,http://www.super-fresco.co.jp,y-ikeda@super-fresco.co.jp,075-468-9171,3億6354万円(2018年1月現在),479億円（2013年2月期）486億円（2014年2月期）502億円（2015年2月期）519億円（2016年2月期）520億円（2017年2月期）,〒600-8311　京都市下京区若宮通五条下ル毘沙門町３３番地１TEL　075-468-9171総務人事本部　池田　裕香E-Mail　：　y-ikeda@super-fresco.co.jpURL　：　http://www.super-fresco.co.jp
株式会社　マルチョウ,代表取締役社長　原田　長政,http://maruchou.com,saiyou@maruchou.com,048-960-5890,1000万円,6億3000万円（2016年3月実績）,株式会社　マルチョウ　本部　採用係◇住所：〒343-0813　　　　　埼玉県越谷市越ヶ谷1-3-14　4F◇TEL：048-960-5890　※TELはブックオフ越谷駅前店と共通です。◇Mail：saiyou@maruchou.com
サミット株式会社,代表取締役社長　竹野　浩樹,,,03-3318-5005,39億2000万円,"2017年3月期/2567億54百万円2016年3月期/2460億43百万円2015年3月期/2352億 2百万円2014年3月期/2372億 2百万円2013年3月期/2282億41百万円","〒168-8686 東京都杉並区永福3-57-14　　人事部 採用担当　茂木(もぎ)・國歳(くにとし)　TEL:03-3318-5005（直通）"
株式会社アップビート,"代表取締役　深田 則往",,,050-3116-3500,4億455万円,125億9000万円　※2016年度実績,"株式会社アップビート〒220-6213神奈川県横浜市西区みなとみらい2-3-5　クイーンズタワーC 13階TEL：050-3116-3500／FAX：045-305-6900"
株式会社グラム,中川　一光,http://ggwh.jp,recruit@gram-net.jp,03-5429-8191,１，０００万円,"□不況にも負けない！□安定成長を続けています！！１０５億２千百万円（平成２８年６期グループ実績）６４億１千万円（平成２７年６月期グループ実績）５３億７千百万円（平成２６年６月期グループ実績）４８億２千百万円(平成２５年６月期グループ実績)４６億２千百万円（平成２４年６月期グループ実績）３９億円（平成２３年６月期グループ実績）３８億４千万円（平成２２年６月期グループ実績）３３億８千７百万円（平成２１年６月期グループ実績） ３０億５千万円（平成２０年６月期グループ実績） ２５億６千万円（平成１９年６月期実績） ２３億円（平成１８年６月期実績）",(株)グラム　人事課〒157-0066　東京都世田谷区成城7-8-18リクルートダイヤル：03-5429-8191リクルートメール：recruit@gram-net.jphttp://ggwh.jp/index.html（株式会社G&Gワークスホールディングス）
株式会社ウエスト,代表取締役社長　市村　勉,,,03-6825-6422,1000万円,7億3000万円(2017年予定),"〒107-0062東京都港区南青山2-27-19　abcd青山ビル2F 　TEL：03-6825-6422（採用担当直通）"
東宝企業株式会社,代表取締役社長　宇崎孝也,http://www.tohokigyo.com,jinji@tohokigyo.com,0858-22-7321,1800万円,92億円（2016年実績）,鳥取県倉吉市大正町2丁目90番地TEL　0858-22-7321担当／穴口・山根E-mail　jinji@tohokigyo.com会社HP　http://www.tohokigyo.com/
株式会社飛竜企画,下川徳雄（大学在学中に創業）,http://www.hiryu.co.jp,,03-3490-6121,3000万円,14億2610万円（2015年3月実績）,●住所・電話番号・連絡先〒153-0063　東京都目黒区目黒2-11-11　HKビルTEL.03-3490-6121（人事部・採用担当）URL　http://www.hiryu.co.jp/●交通JR・東急・地下鉄目黒駅より徒歩13分目黒駅西口を出て目黒通りを直進、山手通りとの交差点を右折。
株式会社大和,"代表取締役　涌本 宜央",,,06-6380-3338,1000万円,,総務部　人事課　家永(いえなが)、別小(べっしょう)、木村〒564-0042　大阪府吹田市穂波町5-1（3階）06-6380-3338saiyo_01@daiwa-cycle.co.jp
兼松ＢＤコミュニケーションズ株式会社,代表取締役社長　宮脇　大輔,,,0942-37-2772,9445万円,21.23億円（2017年3月期）,"兼松ＢＤコミュニケーションズ株式会社〒830-0039福岡県久留米市花畑二丁目15-2TEL:0942-37-2772（フリーコール 0800-888-1477）採用担当"
株式会社チャーム,"代表取締役　吉岡 晃",,,0276-88-0910,1000万円,129億円（2016年度）108億円（2015年度）98.6億円（2014年度）86.9億円（2013年度）75.3億円（2012年度）55.9億円（2011年度）44.2億円（2010年度）,"株式会社チャーム 〒370-0603　群馬県邑楽郡邑楽町中野2819-8 TEL: 0276-88-0910 (代) 受付時間：平日 9:00-20:00 新卒採用担当係"
アークランドサカモト株式会社,"代表取締役社長　坂本 雅俊",,,0256-33-6042,64億6299万円,1030億3100万円（2017年2月期連結）,"〒955-8501 新潟県三条市上須頃445番地アークランドサカモト株式会社管理本部　総務部 人事採用グループ　石本TEL:0256-33-6042(フリーダイヤル)0120-350-634交通機関●上越新幹線「燕三条駅」下車、徒歩10分。北陸自動車道「三条燕IC」より車で5分"
つるや株式会社,代表取締役社長　西村　理作,http://www.tsuruyagolf.co.jp,,06-6281-0111,9000万円,１９５億円（2016年7月期）,大阪市中央区本町3丁目3-5　〒541-0053　電話　06-6281-0111（代）総務人事課／採用担当saiyo@tsuruyagolf.co.jphttp://www.tsuruyagolf.co.jp
株式会社ドミー,代表取締役社長　梶川勇次,http://www.domy.co.jp,,0564-25-1121,8億4154万円,353億2200万円(2016年5月実績)342億6700万円(2015年5月実績)338億5000万円(2014年5月実績)337億6000万円(2013年5月実績)336億1000万円(2012年5月実績)　※連結,株式会社ドミー〒444-0007愛知県岡崎市大平町字八ッ幡1-1TEL：0564-25-1121採用担当：総務部　人事課/成瀬HP：http://www.domy.co.jp/
株式会社アーズ,代表取締役　西瀧順二,http://www.aahz.co.jp,,,2000万円,非公開,"〒135-0064東京都江東区青海２－７－4　theSOHO 307採用担当【交通】ゆりかもめ「船の科学館」または「テレコムセンター」駅より各徒歩5分【ＨＰ】http://www.aahz.co.jp/【お問い合わせ】saiyo@aahz.co.jp"
"株式会社ハヴァ ナイス トリップ",山本秀一　（やまもと　ひでかず）,,,078-222-1631,4000万円,30億900万円（2013年7月期実績）,"〒651-0061 兵庫県神戸市中央区上筒井通3-2-5採用担当　宮永TEL：078-222-1631"
株式会社マツヤデンキ,"代表取締役社長　　瀧川　一隆 ",,,06-6552-0720,1億円,221億40万円（2017年2月期実績）,〒551-0031大阪府大阪市大正区泉尾3丁目11番14号(株)マツヤデンキ人事総務部　採用担当者TEL:06-6552-0720
ウッドオフィス株式会社,"代表取締役社長　名取 禎",http://www.wo-gr.jp/w-o/,,03-6402-1221,1000万円,26億円　※2015年度実績,ウッドオフィス株式会社　総務部　採用担当〒105-0004　東京都港区新橋5-26-5TEL：03-6402-1221/FAX：03-6402-1224
プラモ合同会社,"松村 隆",,,03-3402-0430,900万円,2億0542万円(2016年9月),プラモ合同会社〒107-0062　東京都港区南青山1-17-14　プレイム青山1階TEL/03-3402-0430　採用事務担当/前田、坂本
株式会社スーパーみらべる,代表取締役　関根朋之,,mirabelle@saiyou-center.jp,03-5943-3500,1500万円,1100000万円　（平成28年7月期）,"株式会社スーパーみらべる新卒採用担当 〒173-0004東京都板橋区板橋1-35-9　エムアイビル4FTEL：03-5943-3500　（管理部/大貫）MAIL：mirabelle@saiyou-center.jp"
