会社名,資本金,売上高,代表者,ホームページ,メールアドレス,連絡先
アプライアンス＆デジタルソリューション株式会社,5000万円,17億1100万円（2016年度）,"代表取締役社長　香西 卓",,osaka-saiyo@ad-sol.co.jp,"※ご不明点、ご要望等ございましたら、お気軽にお問合せください！ ・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・ 【大阪本社／京都支店】 大阪市北区天神橋2-北1-30　HTS天神橋ビル TEL：06-4801-9311 E-mail：osaka-saiyo@ad-sol.co.jp 担当：羽田野 【草津本社／神戸支店】 滋賀県草津市若竹町1-40　OHビル草津 TEL：077-565-3311 E-mail：kusatsu-saiyo@ad-sol.co.jp 担当：眞野（まの） 【首都圏開発センター：東京／立川／新横浜／厚木】 東京都世田谷区池尻3-1-3　MUTOH池尻ビル TEL：03-5433-4911 E-mail：syutoken-saiyo@ad-sol.co.jp 担当：福島、米長 【太田支店】 群馬県太田市飯田町924-2　大沢建設第7ビル TEL：0276-45-2911 E-mail：syutoken-saiyo@ad-sol.co.jp 担当：木村 ・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・"
東京コンピュータサービス株式会社,1億円,283億円(2017年3月期実績)277億円(2016年3月期実績)258億円(2015年3月期実績),代表取締役社長　高山允伯,http://www.tcs-ipnet.co.jp,tcs-sinsotu@tcs-ipnet.co.jp,＜本社＞〒103-0023　東京都中央区日本橋本町4-8-14　東京建物第3室町ビル◆TEL　03-3243-5301　担当/採用センター（伊藤・山本）◆E-mail　tcs-sinsotu@tcs-ipnet.co.jp◆URL　http://www.tcs-ipnet.co.jp/★モバイルからのエントリーもお待ちしています。
株式会社Minoriソリューションズ,7億5000万円,"安定成長を続けており、より上を目指して 邁進しています！ 2012年3月期実績　132億円2013年3月期実績　136億円2014年3月期実績 133億円2015年3月期実績 139億円2016年3月期実績 147億円",代表取締役社長　森下　祐治,,e-freshman@minori-sol.jp,"■東京・仙台・松本TEL: 03-3345-0601E-mail:e-freshman@minori-sol.jp■大阪・名古屋・福岡TEL: 06-4705-3901E-mail: w-freshman@minori-sol.jp■本社所在地〒163-0817東京都新宿区西新宿2-4-1　新宿NSビル17F"
ジャパニアス株式会社,2000万円,"38億7000万円（2016年11月期 実績）",代表取締役　西川三郎,http://jna.co.jp,entry@jna.co.jp,"ジャパニアス株式会社〒220-8118 神奈川県横浜市西区みなとみらい2-2-1 横浜ランドマークタワー18F　 人事総務部　人事課　須賀・三浦TEL：045-670-7242MAIL：entry@jna.co.jp"
株式会社シルクロード,2050万円,,代表取締役　天羽　英二,,,"株式会社シルクロード〒541-0041大阪市中央区北浜４丁目８番４号住友ビル４号館 ３Ｆ06-6210-5285／採用担当recruit@silk-road.co.jp"
株式会社ソフネット,2000万円,9億5200万円（平成29年度）,"代表取締役会長　田中 勝彦代表取締役社長　吉住 浩介",http://www.sofnet-pro.co.jp,,"株式会社ソフネット〒812-0054　福岡市東区馬出1丁目13番8号 ソフネット県庁口ビル【電話番号】092-643-7277【採用担当】篠原【ホームページ】http://www.sofnet-pro.co.jp/"
コムシス株式会社,1億円,48億円（2017年3月決算）,代表取締役社長　香西　卓（こうざい　たかし）,http://www.comsis.co.jp/,,"-------------------------------------------------コムシス株式会社　採用センター　担当者：東京採用センター 鈴木・木川所在地：東京都世田谷区池尻3-1-3 MUTOH池尻ビル4FTEL:03-5433-3031 FAX:03-5433-3731E-mail：honsha-jinji@comsis.co.jp--------------------------------------------------"
北港情報サービス株式会社,4800万円（グループ：1億1000万円）,"【決算期】　【 売 上 高 】2015年度　14億2029万円（グループ：160億6088万円）2014年度　13億8364万円（グループ：132億3400万円）2013年度　13億 900万円",代表取締役　古谷裕子,,,"【 大 阪 】〒564-0051 大阪府吹田市豊津町8-7　　　　　　宝ビル6階　　　　　採用担当／白井　　　　　TEL：06-6386-7222【 東 京 】〒100-0011 東京都千代田区内幸町1-1-7　　　　　　NBF日比谷ビル5階　　　　　採用担当／河邉　　　　　TEL：03-3506-7111【名古屋】〒451-0045 愛知県名古屋市西区名駅3-9-37　　　　　　合人社名駅3ビル5階　　　　　採用担当／新堂　　　　　TEL：052-587-3337"
ジェクスシステムソリューションズ株式会社,3000万円,1126億300万円（2017年3月実績　グループ計）,"代表取締役社長　高山 允伯※高山の高は「はしご高」",,,"ジェクスシステムソリューションズ株式会社〒103-0023　東京都中央区日本橋本町4-8-14　東京建物第3室町ビル8階TEL： 03-3548-3711受付： 採用担当（9時～18時／月～金）※ご不明な点は、ご遠慮なくお問い合わせください"
株式会社スーパーソフトウエア,9000万円,11.7億円(2017年4月実績),代表取締役社長　　船木　雅文,http://www.supersoftware.co.jp,,"株式会社スーパーソフトウエア　管理部・採用担当〒530-0005　大阪市北区中之島2丁目3番18号 中之島フェスティバルタワーTEL 06-4707-6001　FAX 06-4707-6005【本社サイト】 http://www.supersoftware.co.jp/【東京サイト】 http://tokyo.supersoftware.co.jp/"
アル・システム株式会社,2000万円,2億3000万円,取締役　　野垣　幸夫★代表はこんな人！★開発・設計・ITインフラ等々、何でも卒なくこなすスーパーエンジニアです。「ユーザーがシステムに期待する、あらゆる想いに応える」企業を目指し日々精進しています。★代表からのメッセージ★人としても成長しながら、一緒に会社の成長も担う人材を募集します！（文理ともに歓迎！）,,,"〒651-0071　兵庫県神戸市中央区筒井町３－１－１０ 寿ビル３Ｆ 担当 ： 人事部　山下 TEL:078-222-6669　FAX:078-222-6668"
インターネットウェア株式会社,8000万円,43億円(2016年3月),"代表取締役社長　高山 正大",http://www.inw.jp,saiyo@inw.jp,"〒103-0023東京都中央区日本橋本町4-8-14　東京建物第3室町ビル　人事総務本部・人事部　採用担当TEL　 03-3243-5411（受付時間：平日 9:00 ～ 17:45）FAX　 03-3243-1170E-Mail　saiyo@inw.jpURL　　 http://www.inw.jp/≪当社へのアクセス≫　◎ＪＲ総武快速線『新日本橋駅』下車　徒歩1分（８番出口直結）　◎東京メトロ銀座線『三越前駅』下車　徒歩5分　　（地下からＪＲ改札方面へ向かい、８番出口を出てください）　◎ＪＲ各線・東京メトロ銀座線『神田駅』下車　徒歩10分（東口が便利です）　◎東京メトロ日比谷線『小伝馬町駅』下車　徒歩5分"
日本システムデザイン株式会社,1000万円,1.5億円,代表取締役　藤澤　信二,,,"日本システムデザイン株式会社 〒540-0039　大阪市中央区東高麗橋1-12　北浜センタービル TEL:06-6941-1341/担当：渡邉watanabe@nsdn.co.jp"
株式会社　昭和システムエンジニアリング,6億3050万円,61億4275万円（2017年3月期）,代表取締役社長　尾崎裕一,http://www.showa-sys-eng.co.jp,saiyo1@showa-sys-eng.co.jp,"■本社〒103-0001東京都中央区日本橋小伝馬町１番５号　ＰＭＯ日本橋江戸通９FTEL:03-3639-9052　担当／田中・安田URL　　 http://www.showa-sys-eng.co.jp/E-mail　saiyo1@showa-sys-eng.co.jp■本社へのアクセス　東京メトロ日比谷線」小伝馬町駅」徒歩1分JR総武快速線「新日本橋駅」徒歩5分都営新宿線「馬喰横山駅」徒歩8分都営浅草線「人形町駅」徒歩8分"
"株式会社 オーアイエス コム",1000万円,14億1300万円（2015年12月実績）,"代表取締役社長 　 岡本祥司",http://www.ois21.co.jp,,"■〒550-0012■大阪市西区立売掘3-1-1　大阪トヨペットビル ■TEL 06（6532）8800 ■FAX 06（6536）5588■採用担当／業務推進部　森松　奥井■URL http://www.ois21.co.jp/"
株式会社パナＲ＆Ｄ,3.1億円（払込）,14億７千万（2016年実績）,代表取締役社長　須貝　昌志,,,"〒150-0011　東京都渋谷区東2-23-3 タゴシンビル6FTEL：03-5467-5611　 FAX：03-5467-5644フリーダイヤル：0120-166-855"
株式会社アクト,1億円,アクト単体　26億円グループ全体　40.5億円（2017年3月期）,"代表取締役　亀井 宏",,info_saiyou@auslink.co.jp,人事部採用担当〒169-0073　東京都新宿区百人町一丁目21番5号TEL：03-5331-8216MAIL：info_saiyou@auslink.co.jp
"株式会社 ケー・シー・ジー・センター",4000万円,5億8千万円（2016年7月期実績）,"代表取締役社長　中橋 直紀",,,"〒530-0041　大阪市北区天神橋2-4-17　千代田第一ビル8Ｆ  ＴＥＬ：06-6353-1974 担当：小倉"
株式会社エスユーエス,4億2593万円(2017年9月28日現在),"53億円　　　　 (2016年9月期)　前年比122％UP43億2800万円　(2015年9月期)","代表取締役　齋藤 公男",,recruit@m.sus-g.co.jp,"【 京 都 本 社 】　TEL：0120-643-401　(新卒採用専用フリーダイヤル)　新卒採用担当：駒村・柴田・畑中・岩永・井上・古川　 　〒600-8008 　京都府京都市下京区四条通烏丸東入ル長刀鉾町8　京都三井ビルディング5階 　アクセス：阪急京都本線「烏丸」駅21番出口直結 　　　　　　　市営地下鉄烏丸線「四条」駅直結 【 東 京 本 社 】 　TEL：03-6431-9332 　新卒採用担当：猪熊・寺垣・齋藤・篠田 　〒141-0032 　東京都品川区大崎1-6-4　新大崎勧業ビルディング7階 　アクセス：JR山手線、埼京線、りんかい線、湘南新宿ライン「大崎」駅直結 　　　　　　　　(東口改札口 歩道橋を渡り右側) 　e-mail　：　recruit@m.sus-g.co.jp"
株式会社阪栄マネージメント,1000万円,3億7000万円（2016年12月期）,"代表取締役　 露谷 勝昭",https://www.hanei.co.jp,inoue@hanei.co.jp,〒530-0041大阪市北区天神橋2丁目4番17号　千代田第一ビル6FTEL：06-6351-8384（代表）FAX：06-6355-3672E-mail：inoue@hanei.co.jpURL：https://www.hanei.co.jp＜交通＞地下鉄谷町線・堺筋線「南森町」4B出口から東へ50m、ＪＲ東西線「大阪天満宮」3番出口から東へ15m
株式会社ピーアイシステム,6600万円,6億181万円（2015年度実績）,"代表取締役　菅野 豊治",http://www.pis.co.jp,,"株式会社ピーアイシステム 【大阪本社】大阪市淀川区西宮原1-8-29　テラサキ第二ビル7階　　　　　　　 TEL06-6150-3001　採用担当◇ＵＲＬ◇http://www.pis.co.jp/◇E-mail◇ jinji＠pis.co.jp"
株式会社システムコーディネイト,1億円,≪売上高は順調に推移しています！≫23億7000万円（2008年3月実績）24億8000万円（2009年3月実績）25億1000万円（2010年3月実績）26億3000万円（2011年3月実績）27億3000万円（2012年3月実績）25億2000万円（2013年3月実績）27億8000万円（2014年3月実績）30億0000万円（2015年3月実績）32億5000万円（2016年3月実績）34億5000万円（2017年3月実績）,代表取締役社長　根本健時,http://www.sysco.co.jp,saiyo@sysco.co.jp,所在地／〒170-0013　東京都豊島区東池袋4-21-1　アウルタワー担当者／総務部　新卒採用係　フリーダイヤル:／0120-355-546E-mail:saiyo@sysco.co.jpURL:http://www.sysco.co.jp/
株式会社ニッセイコム,3億円,206億円(2016年度),代表取締役取締役社長　荻山　得哉,,,"株式会社ニッセイコム東京都品川区大井1-47-1 NTビル〒140-8511人事総務部　03-5742-7372"
有限会社スギテック,960万円(内資本準備金660万円),1億2000万円,代表取締役　杉野　正一,http://www.sugitec.co.jp/,info@sugitec.co.jp,"有限会社スギテック〒550－0001大阪府大阪市西区土佐堀1丁目4番6号　肥後橋新興産ビル6F-A採用強化チームTEL：06-6147-6200メール： info@sugitec.co.jp"
ユニバース情報システム株式会社,4700万円,,代表取締役　　谷　庚三,,,"■本　社：東京都港区芝大門1丁目12番16号ＴＥＬ/03－5472－1077Ｅ-ｍａｉｌ/ saiyo.tokyo@uisnet.co.jp■関西支店／大阪府大阪市淀川区西中島5丁目5番15号ＴＥＬ/06－6300－3411Ｅ-ｍａｉｌ/ saiyo.osaka@uisnet.co.jp■九州支店／福岡県福岡市博多区博多駅前1丁目15番20号ＴＥＬ/092－472－1916Ｅ-ｍａｉｌ/ saiyo.kyusyu@uisnet.co.jp■名古屋営業所／愛知県名古屋市中区錦2丁目18番5号ＴＥＬ/052－231－8801Ｅ-ｍａｉｌ/saiyo.nagoya@uisnet.co.jp"
株式会社ルーセントスクエア,8400万円,"13億1300万円 （2017年3月）12億2200万円 （2016年3月）11億2400万円 （2015年3月）","代表取締役会長　　山岸 満廣代表取締役社長　　村井 雅道",http://www.lucentsquare.co.jp,recruit@lucentsquare.co.jp,"■電話でのお問い合せ 【本社】〒135-0042東京都江東区木場5-11-17　商工中金深川ビル4F東西線「木場駅」沢海橋方面　１番出口 隣りビルTEL: 03-5620-1400 【北海道支店】〒060-0032北海道札幌市中央区北2条東4丁目 サッポロファクトリー3条館4F東西線「バスセンター前駅」徒歩約7分TEL: 011-207-4300 【富山営業所】〒930-0005富山県富山市新桜町2-24　トミ第一ビル7F市電「電気ビル前駅」徒歩1分TEL: 076-444-5305 【大阪営業所】〒541-0042大阪市中央区今橋2-2-17　今川ビルディング8F京阪本線・堺筋線「北浜駅」徒歩2分TEL: 06-6209-7201 　 採用担当：篠山■メールでのお問い合せ  e-mail: recruit@lucentsquare.co.jp■ホームページ　URL http://www.lucentsquare.co.jp"
株式会社日本オーエー研究所,6000万円,"16億8923万円（2016年12月期実績）14億6470万円（2015年12月期実績）12億4301万円（2014年12月期実績）11億0111万円（2013年12月期実績）10億4588万円（2012年12月期実績） 　",代表取締役社長　奥山宏昭,http://www.noar.co.jp,,"株式会社　日本オーエー研究所 〒102-0072　東京都千代田区飯田橋3-11-15　UEDAビル2階/本社03-6261-0287／採用担当http://www.noar.co.jp"
株式会社グローバルソフトウェア,3億6180万円,10億円（平成28年9月実績）,代表取締役社長　狩野　賢一,http://www.globals.jp,jinji@globals.jp,"株式会社グローバルソフトウェア〒367-0044埼玉県本庄市見福3-11-10TEL:0495-22-0001E-Mail: jinji@globals.jpURL: http://www.globals.jp/採用担当　立石"
株式会社ソリトンシステムズ,13億2650万円,"160億円 連結（2016年12月期）","代表取締役社長 鎌田　信夫",,shohei.kawashita@soliton.co.jp,"株式会社ソリトンシステムズ 本社所在地：〒160-0022 東京都新宿区新宿2-4-3採用担当：川下e-mail：shohei.kawashita@soliton.co.jpTEL：03-5360-3844"
株式会社アウトソーシングテクノロジー,4億8365万4000円,266億7100万円（2016年12月31日現在）,"代表取締役社長／茂手木 雅樹",,,"株式会社アウトソーシングテクノロジー【IT職採用窓口】〒100-0005 東京都千代田区丸の内1-8-3 丸の内トラストタワー本館5FTEL／03-3286-4884"
株式会社パワーエッジ,3800万円,"2010年　2億7800万円2011年　4億0060万円2012年　4億2900万円2013年　5億3200万円2014年　6億7400万円2015年　8億7200万円2016年 12億2500万円","塩原 正也",,,"株式会社パワーエッジ採用担当赤星　一実(あかぼし　かずみ)　saiyo@poweredge.co.jp 　〒171-0014 　 東京都豊島区池袋2-43-1 池袋青柳ビル 9FTEL:03-5950-3167(受付時間10:00～18:00） 【学生の皆さんへ】パワーエッジでは、自らが考え行動できる人のために『活躍の場』を用意しています。大切なのはそこで勝負する一人ひとりです。 それぞれの輝きが、仕事・会社の力となり、お客様の輝きへとつながります。 単なるモノを作るということだけにとどまらない、「技術力」と「人間力」のバランス感覚に優れたトップレベルの技術者集団を一緒に目指しましょう。私たちと共に新しい環境を生み出すことができる人、 そして現在の環境に甘えず、目標に向かって進み続ける情熱のある方のご応募を心よりお待ちしています。"
株式会社ブロードリーフ,７１億２，７００万円（２０１５年１２月末現在）,１６８億２，４００万円（２０１５年１２月期）,代表取締役社長　大山　堅司,https://www2.broadleaf.co.jp,recruit@broadleaf.co.jp,"株式会社ブロードリーフ新卒採用担当〒140-0002東京都品川区東品川4-13-14 グラスキューブ品川8FTEL　：　03-5781-3041E-mail：　recruit@broadleaf.co.jp新卒HP：https://www2.broadleaf.co.jp/recruit/top.html会社HP：http://www.broadleaf.co.jp/"
株式会社MJC,1億円,"30億0184万円（2017年2月期実績）30億9152万円（2016年2月期実績） 28億8927万円（2015年2月期実績）","代表取締役社長 　川崎　友裕",,recruit@mjcnet.co.jp,【宮崎本社】〒880-0032宮崎県宮崎市霧島2-84-1TEL:0985-25-8228（直通）総務部　採用担当/落合、岩本E-MAIL:recruit@mjcnet.co.jp
三井造船システム技研株式会社,7億2000万円,173億8003万円&lt;2017年3月期&gt;,"代表取締役社長 　森重 利文",http://www.msr.co.jp,saiyou@msr.co.jp,"〒261‐8501千葉県千葉市美浜区中瀬一丁目3番 幕張テクノガーデンD棟9階総務人事部　採用担当E-mail : saiyou@msr.co.jpTEL : 043-274-6162URL : http://www.msr.co.jp/"
大京システム開発株式会社,1200万円,■21億5500万円(2017年2月期実績)■21億5200万円(2016年2月期実績)■18億200万円(2015年2月期実績),代表取締役社長　宇山　英幸,http://www.u-dsk.co.jp,,大阪本社〒550-0002大阪市西区江戸堀1-9-1　肥後橋センタービル8ＦTEL／06-6441-5815　新卒採用担当
株式会社コア,4億4020万円,193.7億円　（2017年3月度）,代表取締役会長　種村　良平代表取締役社長執行役員　松浪　正信,,saiyo@core.co.jp,"◆本社（東京地区）〒154-8552 東京都世田谷区三軒茶屋1-22-3 コアビル　 採用担当：保持TEL:03-3795-5130 / E-Mail:saiyo@core.co.jp ◆北海道カンパニー〒060-0001 札幌市中央区北一条西4-2-12 北一条アネックスビル5F　 採用担当：加賀谷TEL:011-272-4111 / E-Mail:saiyo_hc@core.co.jp◆東関東カンパニー（茨城／千葉／秋田／仙台技術センター）〒319-1221 茨城県日立市大みか町4-29-1採用担当：菊池TEL:0294-53-0221 / E-Mail:hkc@core.co.jp◆中部カンパニー〒460-0003 名古屋市中区錦1-16-7 NORE伏見採用担当：石田TEL:052-231-8281 / E-Mail:ccjinji@core.co.jp◆関西カンパニー〒559-0031 大阪市住之江区南港東8-2-25採用担当：松浦TEL:06-6613-5851 / E-Mail:saiyo-knc@core.co.jp◆中四国カンパニー〒733-0834 広島市西区草津新町1-21-35 広島ミクシスビル　 採用担当：山我（やまが）、北村TEL:082-278-0511 / E-Mail:csc-saiyo@core.co.jp◆九州カンパニー〒810-0001 福岡市中央区天神2-13-7 福岡平和ビル　 採用担当：納富TEL:092-712-9811 / E-Mail saiyou-kc@core.co.jp"
株式会社アイティシステム,3000万円,10億100万円（2016年9月決算）,古関幸夫,,,"株式会社アイティシステム人事部〒111-0041東京都台東区元浅草 4-10-6 AUSPICE元浅草ビル10FTEL：03-6802-7711"
